Chrysospalax trevelyani,Giant Golden Mole
Chrysospalax villosus,Rough-haired Golden Mole
Cryptochloris wintoni,De Winton's Golden Mole
Cryptochloris zyli,Van Zyl's Golden Mole
Cryptochloris asiatica,Cape Golden Mole
Cryptochloris visagiei,Visagie's Golden Mole
Eremitalpa granti,Grant's Golden Mole
Chlorotalpa arendsi,Arends's Golden Mole
Chlorotalpa duthieae,Duthie's Golden Mole
Chlorotalpa sclateri,Sclater's Golden Mole
Calcochloris obtusirostris,Yellow Golden Mole
Amblysomus gunningi,Gunning's Golden Mole
Amblysomus hottentotus,Hottentot Golden Mole
Amblysomus julianae,Juliana's Golden Mole
Amblysomus iris,Zulu Golden Mole
Atelerix frontalis,Southern African Hedgehog
Petrodromus tetradactylus,Fourtoed Elephant-shrew
Macroscelides proboscideus,Roundeared Elephant-shrew
Elephantulus fuscus,Peters's Shortsnouted Elephant Shrew
Elephantulus brachyrhynchus,Shortsnouted Elephant-shrew
Elephantulus rupestris,Smith's Rock Elephant-shrew
Elephantulus intufi,Bushveld Elephant-shrew
Elephantulus myurus,Rock Elephant-shrew
Elephantulus edwardii,Cape Rock Elephant-shrew
Myosorex longicaudatus,Longtailed Forest Shrew
Myosorex cafer,Darkfooted Forest Shrew
Myosorex varius,Forest Shrew
Crocidura occidentalis,Giant Musk Shrew
Crocidura mariquensis,Swamp Musk Shrew
Crocidura fuscomurina,Tiny Musk Shrew
Crocidura maquassiensis,Maquassie Musk Shrew
Crocidura cyanea,Reddish-grey Musk Shrew
Crocidura silacea,Lesser Grey-brown Musk Shrew
Crocidura flavescens,Greater Musk Shrew
Crocidura luna,Greater Grey-brown Musk Shrew
Crocidura hirta,Lesser Red Musk Shrew
Suncus lixus,Greater Dwarf Shrew
Suncus varilla,Lesser Dwarf Shrew
Suncus infinitesimus,Least Dwarf Shrew
Sylvisorex megalura,Climbing Shrew
Eidolon helvum,Strawcoloured Fruit Bat
Rousettus aegyptiacus,Egyptian Fruit Bat
Rousettus angolensis,Bocage's Fruit Bat
Epomophorus wahlbergi,Wahlberg's Epauletted Fruit Bat
Epomophorus crypturus,Peters's Epauletted Fruit Bat
Epomophorus angolensis,Angolan Epauletted Fruit Bat
Epomops dobsonii,Dobson's Fruit Bat
Coleura afra,Sheathtailed Bat
Taphozous mauritianus,Mauritian Tomb Bat
Taphozous perforatus,Egyptian Tomb Bat
Hipposideros commersoni,Commerson's Leafnosed Bat
Hipposideros caffer,Sundevall's Leafnosed Bat
Cloeotis percivali,Shorteared Trident Bat
Triaenops persicus,Persian Leafnosed Bat
Nycteris hispida,Hairy Slitfaced Bat
Nycteris grandis,Large Slitfaced Bat
Nycteris woodi,Wood's Slitfaced Bat
Nycteris macrotis,Greater Slitfaced Bat
Nycteris thebaica,Egyptian Slitfaced Bat
Nycteris vinsoni,Vinson's Slitfaced Bat
Rhinolophus hildebrandtii,Hildebrandt's Horseshoe Bat
Rhinolophus fumigatus,Ruppell's Horseshoe Bat
Rhinolophus clivosus,Geoffroy's Horseshoe Bat
Rhinolophus darlingi,Darling's Horseshoe Bat
Rhinolophus landeri,Lander's Horseshoe Bat
Rhinolophus blasii,Peaksaddle Horseshoe Bat
Rhinolophus capensis,Cape Horseshoe Bat
Rhinolophus simulator,Bushveld Horseshoe Bat
Rhinolophus denti,Dent's Horseshoe Bat
Rhinolophus swinnyi,Swinny's Horseshoe Bat
Miniopterus inflatus,Greater Longfingered Bat
Miniopterus fraterculus,Lesser Longfingered Bat
Miniopterus schreibersii,Schreiber's Longfingered Bat
Eptesicus rendalli,Rendall's Serotine Bat
Eptesicus hottentotus,Longtailed Serotine Bat
Eptesicus melckorum,Melck's Serotine Bat
Eptesicus somalicus,Somali Serotine Bat
Eptesicus capensis,Cape Serotine Bat
Myotis welwitschii,Welwitsch's Hairy Bat
Myotis seabrai,Angola Hairy Bat
Myotis lesueuri,Lesueur's Hairy Bat
Myotis tricolor,Temminck's Hairy Bat
Myotis bocagei,Rufous Hairy Bat
Pipistrellus kuhlii,Kuhl's Pippistrelle
Pipistrellus rusticus,Rusty Bat
Pipistrellus nanus,Banana Bat
Pipistrellus rueppellii,Ruppell's Bat
Pipistrellus anchietai,Anchieta's Pippistrelle
Chalinolobus variegatus,Butterfly Bat
Laephotis namibensis,Namib Longeared Bat
Laephotis botswanae,Botswana Longeared Bat
Laephotis wintoni,Winton's Longeared Bat
Scotoecus albofuscus,Thomas's House Bat
Nycticeius schleiffenii,Schleiffen's Bat
Scotophilus nigrita,Giant Yellow House Bat
Scotophilus dinganii,Yellow House Bat
Scotophilus borbonicus,Lesser Yellow House Bat
Kerivoula argentata,Damara Woolly Bat
Kerivoula lanosa,Lesser Woolly Bat
Otomops martiensseni,Large-eared Freetailed Bat
Sauromys petrophilus,Flatheaded Freetailed Bat
Mormopterus acetabulosus,Natal Freetailed Bat
Tadarida aegyptiaca,Egyptian Freetailed Bat
Tadarida ansorgei,Ansorge's Freetailed Bat
Tadarida bivittata,Spotted Freetailed Bat
Tadarida chapini,Pale Freetailed Bat
Tadarida condylura,Angola Freetailed Bat
Tadarida fulminans,Madagascar Freetailed Bat
Tadarida lobata,Bigeared Freetailed Bat
Tadarida midas,Midas Freetailed Bat
Tadarida nigeriae,Nigerian Freetailed Bat
Tadarida pumila,Little Freetailed Bat
Tadarida ventralis,Giant African Freetailed Bat
Papio ursinus,Chacma Baboon
Papio cynocephalus,Yellow Baboon
Cercopithecus aethiops,Vervet Monkey
Cercopithecus mitis,Samango Monkey
Otolemur crassicaudatus,Thicktailed Bushbaby
Galago moholi,Lesser Bushbaby
Galagoides grantii,Grant's Bushbaby
Galagoides zanzibaricus,Zanzibar Lesser Bushbaby
Manis temminckii,Pangolin
Lepus capensis,Cape Hare
Lepus saxatilis,Scrub Hare
Pronolagus randensis,Jameson's Red Rock Rabit
Pronolagus crassicaudatus,Natal Red Rock Rabbit
Pronolagus rupestris,Smith's Red Rock Rabbit
Bunolagus monticularis,Riverine Rabbit
Xerus inauris,Ground Squirrel
Xerus princeps,Mountain Ground Squirrel
Heliosciurus mutabilis,Sun Squirrel
Paraxerus palliatus,Red Squirrel
Funisciurus congicus,Striped Tree Squirrel
Paraxerus cepapi,Tree Squirrel
Sciurus carolinensis,Grey Squirrel
Graphiurus ocularis,Spectacled Dormouse
Graphiurus platyops,Rock Dormouse
Graphiurus murinus,Woodland Dormouse
Graphiurus parvus,Lesser Savanna Dormouse
Pedetes capensis,Springhare
Bathyergus suillus,Cape Dune Molerat
Bathyergus janetta,Namaqua Dune Molerat
Cryptomys hottentotus,Common Molerat
Georychus capensis,Cape Molerat
Hystrix africaeaustralis,Porcupine
Thryonomys swinderianus,Greater Cane Rat
Thryonomys gregorianus,Lesser Cane Rat
Petromus typicus,Dassie Rat
Zelotomys woosnami,Woosnam's Desert Rat
Mystromys albicaudatus,Whitetailed Mouse
Saccostomus campestris,Pouched Mouse
Cricetomys gambianus,Giant Rat
Steatomys pratensis,Fat Mouse
Steatomys parvus,Tiny Fat Mouse
Steatomys krebsii,Kreb's Fat Mouse
Dendromus nyikae,Nyika Climbing Mouse
Dendromus melanotis,Grey Climbing Mouse
Dendromus mesomelas,Brant's Climbing Mouse
Dendromus mystacalis,Chestnut Climbing Mouse
Malacothrix typica,Large-eared Mouse
Desmodillus auricularis,Shorttailed Gerbil
Gerbillurus paeba,Hairyfooted Gerbil
Gerbillurus vallinus,Brushtailed Hairyfooted Gerbil
Gerbillurus tytonis,Dune Hairyfooted Gerbil
Gerbillurus setzeri,Setzer's Hairyfooted Gerbil
Tatera leucogaster,Bushveld Gerbil
Tatera afra,Cape Gerbil
Tatera brantsii,Highveld Gerbil
Tatera inclusa,Gorongosa Gerbil
Acomys spinosissimus,Spiny Mouse
Acomys subspinosus,Cape Spiny Mouse
Aethomys namaquensis,Namaqua Rock Mouse
Aethomys granti,Grant's Rock Mouse
Aethomys chrysophilus,Red Veld Rat
Dasymus incomtus,Water Rat
Rhabdomys pumilio,Striped Mouse
Lemniscomys rosalia,Singlestriped Mouse
Mus setzeri,Setzer's Pygmy Mouse
Mus triton,Greybellied Pygmy Mouse
Mus indutus,Desert Pygmy Mouse
Mus minutoides,Pygmy Mouse
Mus sorella,Thomas's Pygmy Mouse
Mus muscullus,House Mouse
Thaliomys paedulcus,Tree Mouse
Grammomys dolichurus,Woodland Mouse
Grammomys cometes,Mozambique Woodland Mouse
Pelomys fallax,Groovetoothed Rat
Mastomys natalensis,Natal Multimammate Mouse
